Street , Type, Room, Occupants,Appliance,Floor,Occupancy,Summer,Winter
Vermont , Apartment, 3, 5, 8, 0, 105,176, 211.2
Orchard , Apartment, 1, 2, 3, 0, 94,192, 230.4
Jefferson , Apartment, 2, 6, 6, 0, 103,136, 163.2
Jefferson , Apartment, 3, 3, 6, 1, 98,276, 165.6
Orchard , Bungalow, 3, 5, 8, 0, 95,120, 144
Orchard , Apartment, 3, 5, 8, 0, 94,137, 164.4
Ellendale , Apartment, 1, 2, 2, 0, 86,117, 140.4
Vermont , Apartment, 2, 4, 5, 0, 89,195, 234
TwentyThird , Apartment, 2, 6, 6, 0, 94,104, 124.8
Hoover , Bungalow, 1, 2, 3, 0, 88,168, 201.6
Hoover , Bungalow, 2, 5, 4, 1, 88,250.5, 150.3
Vermont , Bungalow, 3, 6, 7, 0, 91,117, 140.4
Ellendale , Apartment, 2, 5, 4, 0, 97,181, 217.2
Menlo , Apartment, 2, 5, 4, 1, 101,252, 151.2
Orchard , Apartment, 2, 4, 6, 1, 92,270, 162
Vermont , Apartment, 2, 5, 4, 0, 88,115, 138
TwentyThird , Apartment, 1, 1, 3, 0, 89,176, 211.2
Figueroa , Apartment, 3, 5, 8, 0, 103,110, 132
Adams , Apartment, 2, 3, 6, 1, 102,183, 109.8
Orchard , Apartment, 3, 5, 7, 1, 93,154.5, 92.7
Ellendale , Apartment, 1, 1, 3, 1, 101,193.5, 116.1
Jefferson , Bungalow, 3, 6, 7, 1, 98,291, 174.6
Orchard , Bungalow, 2, 3, 4, 1, 90,261, 156.6
Menlo , Bungalow, 1, 1, 2, 1, 93,169.5, 101.7
Figueroa , Apartment, 1, 1, 4, 1, 99,246, 147.6
Ellendale , Bungalow, 3, 4, 8, 1, 91,205.5, 123.3
TwentyThird , Bungalow, 1, 1, 2, 0, 96,141, 169.2
Jefferson , Bungalow, 1, 1, 3, 1, 87,178.5, 107.1
Vermont , Bungalow, 1, 2, 2, 0, 104,146, 175.2
Hoover , Bungalow, 1, 2, 4, 1, 98,244.5, 146.7
Ellendale , Apartment, 3, 6, 7, 1, 92,259.5, 155.7
Figueroa , Apartment, 3, 5, 8, 1, 100,298.5, 179.1
Menlo , Apartment, 1, 1, 2, 1, 91,268.5, 161.1
TwentyThird , Bungalow, 1, 2, 3, 1, 102,195, 117
Figueroa , Bungalow, 3, 3, 7, 0, 94,143, 171.6
Figueroa , Bungalow, 1, 1, 2, 0, 105,152, 182.4
Adams , Bungalow, 3, 4, 7, 1, 101,264, 158.4
Vermont , Apartment, 2, 4, 5, 0, 94,168, 201.6
TwentyThird , Bungalow, 1, 1, 2, 1, 91,198, 118.8
Adams , Bungalow, 1, 2, 4, 1, 97,234, 140.4
Adams , Bungalow, 1, 1, 4, 0, 98,173, 207.6
Hoover , Bungalow, 2, 6, 5, 1, 88,232.5, 139.5
Adams , Bungalow, 3, 4, 6, 1, 94,273, 163.8
Adams , Apartment, 2, 3, 5, 0, 96,181, 217.2
TwentyThird , Apartment, 2, 4, 5, 0, 95,130, 156
Menlo , Apartment, 1, 2, 3, 0, 92,190, 228
Vermont , Apartment, 3, 4, 6, 1, 101,225, 135
TwentyThird , Apartment, 2, 3, 4, 0, 92,137, 164.4
Menlo , Bungalow, 2, 5, 6, 1, 88,235.5, 141.3
Jefferson , Bungalow, 3, 4, 7, 1, 90,178.5, 107.1
Adams , Bungalow, 1, 1, 4, 0, 97,127, 152.4
ThirtyWest , Bungalow, 3, 5, 7, 0, 103,187, 224.4
Orchard , Bungalow, 3, 3, 8, 0, 89,131, 157.2
Ellendale , Apartment, 1, 2, 4, 0, 93,156, 187.2
Figueroa , Apartment, 2, 5, 4, 0, 93,167, 200.4
Menlo , Bungalow, 1, 1, 2, 1, 100,274.5, 164.7
Hoover , Bungalow, 1, 1, 3, 1, 101,228, 136.8
Menlo , Apartment, 3, 6, 6, 1, 98,220.5, 132.3
Menlo , Apartment, 2, 6, 6, 0, 91,170, 204
Jefferson , Apartment, 3, 6, 8, 0, 101,181, 217.2
Menlo , Bungalow, 1, 1, 4, 0, 105,171, 205.2
Vermont , Bungalow, 1, 2, 4, 0, 96,137, 164.4
TwentyThird , Bungalow, 3, 3, 8, 0, 103,181, 217.2
Hoover , Apartment, 3, 3, 7, 1, 87,252, 151.2
Adams , Apartment, 2, 5, 4, 1, 86,246, 147.6
Orchard , Apartment, 1, 1, 3, 0, 97,181, 217.2
Hoover , Apartment, 3, 5, 7, 1, 100,220.5, 132.3
Vermont , Apartment, 3, 4, 7, 0, 103,170, 204
Menlo , Apartment, 2, 4, 6, 1, 101,288, 172.8
Menlo , Apartment, 2, 4, 5, 1, 94,231, 138.6
Hoover , Bungalow, 1, 1, 3, 1, 96,277.5, 166.5
TwentyThird , Bungalow, 1, 2, 4, 1, 100,259.5, 155.7
ThirtyWest , Bungalow, 2, 6, 5, 1, 92,271.5, 162.9
Orchard , Bungalow, 3, 5, 8, 0, 86,106, 127.2
Adams , Bungalow, 1, 2, 3, 0, 91,103, 123.6
Orchard , Bungalow, 3, 6, 8, 1, 88,193.5, 116.1
Adams , Apartment, 1, 2, 3, 1, 91,159, 95.4
Menlo , Apartment, 3, 6, 8, 0, 85,120, 144
ThirtyWest , Bungalow, 1, 2, 2, 1, 86,213, 127.8
Menlo , Bungalow, 3, 6, 8, 0, 96,175, 210
Hoover , Apartment, 3, 4, 6, 1, 91,294, 176.4
Vermont , Apartment, 1, 2, 2, 1, 95,159, 95.4
Adams , Apartment, 3, 4, 6, 1, 95,250.5, 150.3
Ellendale , Apartment, 3, 3, 8, 1, 102,181.5, 108.9
Menlo , Apartment, 3, 5, 7, 1, 104,189, 113.4
Adams , Bungalow, 3, 5, 8, 1, 100,159, 95.4
Adams , Bungalow, 1, 1, 3, 0, 89,173, 207.6
Hoover , Bungalow, 2, 4, 4, 0, 102,174, 208.8
Orchard , Bungalow, 2, 3, 6, 0, 102,155, 186
Ellendale , Apartment, 2, 5, 5, 0, 103,136, 163.2
Menlo , Apartment, 3, 5, 8, 1, 88,229.5, 137.7
Jefferson , Apartment, 1, 2, 2, 0, 105,119, 142.8
Figueroa , Apartment, 2, 6, 5, 0, 93,128, 153.6
Jefferson , Bungalow, 1, 1, 3, 1, 96,195, 117
Hoover , Bungalow, 1, 1, 2, 1, 92,258, 154.8
TwentyThird , Bungalow, 2, 6, 5, 0, 97,135, 162
Jefferson , Apartment, 2, 6, 4, 0, 103,134, 160.8
Jefferson , Bungalow, 3, 4, 8, 0, 94,127, 152.4
Jefferson , Bungalow, 3, 6, 6, 1, 94,298.5, 179.1
Hoover , Apartment, 3, 3, 8, 0, 89,172, 206.4
ThirtyWest , Apartment, 1, 1, 3, 1, 91,202.5, 121.5
Jefferson , Apartment, 2, 5, 4, 1, 105,249, 149.4
Hoover , Bungalow, 2, 4, 4, 1, 99,231, 138.6
Menlo , Apartment, 3, 4, 7, 0, 95,159, 190.8
Adams , Bungalow, 2, 3, 4, 0, 101,135, 162
TwentyThird , Bungalow, 3, 4, 8, 1, 87,165, 99
Vermont , Apartment, 3, 6, 8, 0, 102,113, 135.6
Figueroa , Apartment, 1, 1, 4, 0, 103,182, 218.4
Adams , Apartment, 3, 5, 6, 1, 104,199.5, 119.7
Vermont , Bungalow, 1, 2, 3, 0, 94,190, 228
Jefferson , Bungalow, 1, 2, 4, 0, 87,119, 142.8
Adams , Bungalow, 3, 4, 6, 0, 85,179, 214.8
Orchard , Bungalow, 1, 2, 3, 1, 103,163.5, 98.1
TwentyThird , Apartment, 2, 5, 4, 1, 94,256.5, 153.9
Menlo , Bungalow, 3, 6, 7, 0, 96,158, 189.6
Ellendale , Apartment, 3, 3, 7, 1, 104,172.5, 103.5
TwentyThird , Apartment, 2, 4, 4, 0, 97,101, 121.2
ThirtyWest , Apartment, 2, 4, 5, 0, 97,140, 168
Hoover , Apartment, 2, 6, 6, 1, 86,214.5, 128.7
Vermont , Apartment, 1, 2, 2, 1, 102,267, 160.2
TwentyThird , Apartment, 3, 6, 8, 0, 90,107, 128.4
Hoover , Bungalow, 1, 2, 3, 0, 86,123, 147.6
Orchard , Bungalow, 3, 5, 7, 0, 87,155, 186
Jefferson , Apartment, 1, 2, 3, 1, 101,204, 122.4
Adams , Apartment, 3, 3, 8, 1, 101,268.5, 161.1
Jefferson , Apartment, 2, 4, 6, 1, 91,160.5, 96.3
ThirtyWest , Apartment, 1, 2, 3, 0, 102,199, 238.8
Orchard , Apartment, 3, 3, 6, 0, 90,138, 165.6
Vermont , Bungalow, 1, 2, 2, 0, 98,149, 178.8
Figueroa , Apartment, 1, 1, 4, 0, 100,111, 133.2
Jefferson , Apartment, 3, 3, 6, 0, 86,112, 134.4
Hoover , Apartment, 1, 1, 4, 0, 101,162, 194.4
Jefferson , Bungalow, 2, 5, 6, 0, 86,143, 171.6
TwentyThird , Bungalow, 2, 5, 6, 1, 101,223.5, 134.1
Ellendale , Bungalow, 2, 5, 6, 0, 102,195, 234
Orchard , Bungalow, 1, 1, 2, 1, 92,162, 97.2
Jefferson , Bungalow, 1, 1, 3, 0, 101,126, 151.2
TwentyThird , Apartment, 1, 2, 2, 1, 89,211.5, 126.9
Vermont , Bungalow, 2, 3, 6, 1, 90,273, 163.8
Jefferson , Apartment, 3, 3, 8, 1, 94,220.5, 132.3
Figueroa , Bungalow, 2, 5, 5, 0, 101,131, 157.2
Adams , Apartment, 3, 3, 8, 0, 99,127, 152.4
Jefferson , Apartment, 2, 6, 6, 1, 95,216, 129.6
Orchard , Bungalow, 3, 3, 8, 1, 103,151.5, 90.9
Ellendale , Apartment, 1, 1, 4, 1, 104,190.5, 114.3
ThirtyWest , Apartment, 2, 5, 6, 0, 89,124, 148.8
ThirtyWest , Apartment, 2, 3, 5, 0, 105,136, 163.2
Ellendale , Apartment, 3, 3, 6, 1, 92,289.5, 173.7
Orchard , Apartment, 2, 3, 5, 1, 91,250.5, 150.3
Figueroa , Bungalow, 3, 4, 6, 1, 100,264, 158.4
Orchard , Apartment, 3, 5, 8, 0, 90,158, 189.6
Adams , Apartment, 3, 6, 8, 1, 99,169.5, 101.7
Orchard , Bungalow, 2, 5, 5, 0, 99,178, 213.6
Hoover , Bungalow, 3, 4, 8, 1, 95,240, 144
Menlo , Bungalow, 2, 5, 5, 0, 99,178, 213.6
Menlo , Bungalow, 3, 4, 6, 1, 85,262.5, 157.5
Figueroa , Bungalow, 2, 4, 5, 0, 94,126, 151.2
Orchard , Bungalow, 3, 5, 6, 0, 98,185, 222
Jefferson , Bungalow, 2, 5, 6, 1, 97,243, 145.8
Figueroa , Apartment, 3, 3, 8, 1, 93,253.5, 152.1
Menlo , Apartment, 2, 5, 5, 1, 103,187.5, 112.5
ThirtyWest , Apartment, 2, 5, 4, 0, 92,136, 163.2
Adams , Bungalow, 1, 1, 2, 0, 102,165, 198
Adams , Bungalow, 3, 5, 8, 0, 92,108, 129.6
Hoover , Bungalow, 1, 1, 2, 0, 104,122, 146.4
Jefferson , Apartment, 3, 5, 6, 0, 103,120, 144
TwentyThird , Apartment, 2, 3, 5, 0, 95,134, 160.8
Orchard , Bungalow, 1, 2, 4, 1, 89,288, 172.8
Ellendale , Bungalow, 1, 1, 4, 1, 105,189, 113.4
TwentyThird , Apartment, 2, 3, 6, 0, 90,155, 186
Adams , Apartment, 2, 4, 5, 0, 100,167, 200.4
Jefferson , Apartment, 1, 1, 3, 1, 104,190.5, 114.3
ThirtyWest , Apartment, 2, 6, 4, 0, 95,115, 138
Figueroa , Apartment, 2, 4, 5, 1, 92,237, 142.2
Vermont , Apartment, 1, 2, 4, 1, 93,273, 163.8
Figueroa , Apartment, 3, 6, 7, 1, 104,150, 90
Vermont , Apartment, 1, 1, 2, 1, 95,270, 162
Jefferson , Bungalow, 2, 6, 4, 1, 101,276, 165.6
Orchard , Apartment, 2, 5, 5, 1, 90,219, 131.4
Ellendale , Apartment, 3, 4, 8, 1, 99,286.5, 171.9
Orchard , Apartment, 1, 1, 2, 1, 105,226.5, 135.9
TwentyThird , Bungalow, 1, 2, 3, 1, 100,229.5, 137.7
Jefferson , Bungalow, 1, 2, 3, 1, 103,184.5, 110.7
Adams , Bungalow, 2, 4, 4, 1, 96,195, 117
Vermont , Bungalow, 1, 2, 4, 1, 104,252, 151.2
Vermont , Apartment, 3, 4, 6, 0, 101,135, 162
TwentyThird , Apartment, 2, 4, 6, 0, 86,161, 193.2
TwentyThird , Apartment, 2, 3, 5, 1, 88,177, 106.2
Adams , Apartment, 3, 5, 7, 1, 97,181.5, 108.9
Jefferson , Bungalow, 3, 3, 6, 0, 87,124, 148.8
Menlo , Bungalow, 3, 5, 7, 1, 85,168, 100.8
ThirtyWest , Apartment, 2, 4, 4, 0, 99,175, 210
Figueroa , Apartment, 3, 6, 8, 0, 94,137, 164.4
Adams , Apartment, 3, 5, 6, 1, 103,246, 147.6
Hoover , Apartment, 2, 4, 6, 0, 100,197, 236.4
Orchard , Bungalow, 2, 5, 6, 0, 97,147, 176.4
TwentyThird , Bungalow, 1, 2, 4, 1, 102,220.5, 132.3
Orchard , Bungalow, 3, 6, 7, 0, 94,169, 202.8
Menlo , Bungalow, 3, 6, 8, 1, 100,270, 162
Vermont , Bungalow, 2, 6, 6, 0, 96,159, 190.8
Hoover , Apartment, 3, 5, 7, 1, 98,283.5, 170.1
Figueroa , Bungalow, 1, 2, 2, 0, 85,196, 235.2
Adams , Bungalow, 2, 4, 4, 1, 96,174, 104.4
TwentyThird , Bungalow, 2, 4, 5, 1, 93,172.5, 103.5
Adams , Bungalow, 3, 4, 8, 0, 85,193, 231.6
Vermont , Bungalow, 1, 1, 4, 1, 96,159, 95.4
Hoover , Apartment, 1, 1, 3, 0, 98,196, 235.2
Figueroa , Bungalow, 2, 4, 5, 0, 103,137, 164.4
Jefferson , Bungalow, 2, 3, 4, 1, 97,160.5, 96.3
TwentyThird , Bungalow, 2, 6, 4, 1, 95,274.5, 164.7
TwentyThird , Bungalow, 3, 6, 6, 1, 88,222, 133.2
Vermont , Bungalow, 2, 6, 5, 1, 103,252, 151.2
Figueroa , Apartment, 1, 2, 2, 0, 101,101, 121.2
Jefferson , Bungalow, 2, 6, 6, 0, 99,137, 164.4
Ellendale , Bungalow, 2, 3, 4, 0, 104,168, 201.6
Vermont , Bungalow, 2, 3, 6, 0, 97,105, 126
Vermont , Bungalow, 1, 2, 4, 1, 105,165, 99
Menlo , Bungalow, 2, 3, 5, 1, 86,259.5, 155.7
Adams , Apartment, 3, 5, 6, 1, 102,276, 165.6
Hoover , Bungalow, 2, 4, 6, 0, 91,195, 234
Ellendale , Apartment, 2, 4, 6, 0, 90,156, 187.2
TwentyThird , Apartment, 2, 5, 5, 0, 95,134, 160.8
Adams , Bungalow, 3, 4, 8, 0, 97,155, 186
Ellendale , Bungalow, 3, 3, 6, 0, 86,156, 187.2
Vermont , Apartment, 2, 5, 6, 1, 100,174, 104.4
ThirtyWest , Apartment, 2, 3, 4, 1, 95,174, 104.4
Jefferson , Apartment, 1, 1, 2, 1, 96,165, 99
Jefferson , Apartment, 2, 3, 4, 1, 86,270, 162
Jefferson , Bungalow, 3, 4, 7, 1, 100,246, 147.6
Orchard , Apartment, 1, 1, 2, 0, 105,158, 189.6
TwentyThird , Bungalow, 2, 3, 5, 0, 101,111, 133.2
ThirtyWest , Bungalow, 1, 2, 4, 0, 94,142, 170.4
Orchard , Bungalow, 1, 2, 4, 0, 101,149, 178.8
Vermont , Apartment, 3, 4, 8, 0, 86,193, 231.6
Ellendale , Apartment, 2, 4, 4, 1, 104,247.5, 148.5
Vermont , Apartment, 1, 1, 3, 1, 91,292.5, 175.5
TwentyThird , Apartment, 3, 3, 6, 1, 99,252, 151.2
Menlo , Bungalow, 3, 6, 7, 0, 100,193, 231.6
Figueroa , Bungalow, 3, 4, 8, 0, 98,153, 183.6
Vermont , Bungalow, 1, 1, 2, 0, 88,176, 211.2
Figueroa , Apartment, 2, 5, 4, 0, 88,159, 190.8
Adams , Apartment, 3, 5, 7, 1, 97,240, 144
Orchard , Apartment, 1, 2, 4, 0, 98,115, 138
Adams , Apartment, 1, 1, 2, 0, 93,197, 236.4
Hoover , Apartment, 3, 6, 8, 0, 101,187, 224.4
Orchard , Apartment, 1, 1, 2, 1, 97,171, 102.6
Adams , Apartment, 1, 2, 4, 1, 92,223.5, 134.1
Figueroa , Apartment, 2, 5, 4, 0, 104,146, 175.2
TwentyThird , Apartment, 2, 6, 5, 0, 85,168, 201.6
ThirtyWest , Bungalow, 2, 6, 4, 1, 98,196.5, 117.9
Hoover , Bungalow, 3, 6, 6, 0, 85,163, 195.6
Menlo , Apartment, 3, 6, 7, 0, 89,169, 202.8
Figueroa , Bungalow, 2, 4, 5, 1, 90,255, 153
Jefferson , Bungalow, 3, 5, 7, 0, 94,175, 210
Figueroa , Bungalow, 3, 6, 7, 1, 105,213, 127.8
Hoover , Bungalow, 2, 4, 6, 1, 101,252, 151.2
ThirtyWest , Bungalow, 1, 1, 2, 1, 95,226.5, 135.9
ThirtyWest , Bungalow, 3, 6, 8, 1, 103,268.5, 161.1
Jefferson , Apartment, 2, 3, 6, 0, 100,175, 210
Menlo , Apartment, 2, 3, 6, 0, 90,175, 210
Hoover , Bungalow, 1, 2, 2, 0, 102,188, 225.6
Adams , Bungalow, 1, 2, 2, 1, 87,184.5, 110.7
Ellendale , Bungalow, 2, 3, 5, 0, 92,187, 224.4
Figueroa , Bungalow, 2, 6, 4, 0, 94,149, 178.8
TwentyThird , Bungalow, 3, 4, 6, 1, 86,190.5, 114.3
Jefferson , Bungalow, 3, 4, 8, 1, 101,240, 144
Jefferson , Bungalow, 1, 2, 2, 0, 86,137, 164.4
Jefferson , Bungalow, 1, 1, 3, 1, 86,211.5, 126.9
Figueroa , Bungalow, 3, 6, 8, 1, 88,208.5, 125.1
Ellendale , Apartment, 3, 3, 7, 0, 105,137, 164.4
TwentyThird , Bungalow, 1, 1, 4, 0, 96,120, 144
Hoover , Apartment, 2, 4, 5, 0, 86,187, 224.4
TwentyThird , Apartment, 1, 2, 4, 1, 87,282, 169.2
Jefferson , Apartment, 2, 5, 6, 0, 96,167, 200.4
Hoover , Apartment, 3, 4, 6, 1, 86,199.5, 119.7
Figueroa , Apartment, 2, 6, 5, 0, 85,166, 199.2
Hoover , Apartment, 2, 6, 5, 0, 92,194, 232.8
ThirtyWest , Apartment, 1, 1, 2, 1, 87,289.5, 173.7
Orchard , Apartment, 3, 5, 7, 0, 102,151, 181.2
Ellendale , Apartment, 1, 1, 3, 0, 101,189, 226.8
ThirtyWest , Apartment, 2, 3, 5, 0, 96,140, 168
Ellendale , Bungalow, 1, 2, 4, 0, 91,104, 124.8
ThirtyWest , Apartment, 3, 5, 7, 0, 92,154, 184.8
Hoover , Apartment, 2, 3, 6, 0, 93,152, 182.4
Orchard , Apartment, 1, 2, 4, 1, 91,217.5, 130.5
Menlo , Bungalow, 3, 5, 7, 1, 96,225, 135
Menlo , Apartment, 1, 1, 4, 0, 105,180, 216
TwentyThird , Bungalow, 2, 3, 6, 0, 91,119, 142.8
Vermont , Bungalow, 1, 2, 3, 0, 85,188, 225.6
Jefferson , Apartment, 1, 2, 4, 1, 95,291, 174.6
ThirtyWest , Apartment, 1, 1, 4, 0, 98,120, 144
Ellendale , Apartment, 2, 6, 6, 0, 97,167, 200.4
Hoover , Apartment, 1, 1, 4, 1, 88,153, 91.8
ThirtyWest , Apartment, 2, 5, 5, 1, 102,258, 154.8
Adams , Apartment, 2, 4, 4, 0, 98,139, 166.8
Ellendale , Apartment, 2, 3, 6, 1, 99,250.5, 150.3
Menlo , Apartment, 2, 4, 4, 1, 104,184.5, 110.7
Figueroa , Apartment, 2, 6, 4, 0, 96,196, 235.2
Vermont , Apartment, 2, 5, 5, 0, 89,143, 171.6
TwentyThird , Apartment, 3, 5, 6, 1, 92,181.5, 108.9
Menlo , Bungalow, 2, 6, 4, 1, 91,300, 180
Menlo , Bungalow, 3, 3, 6, 0, 101,156, 187.2
Jefferson , Bungalow, 3, 6, 7, 1, 86,247.5, 148.5
Orchard , Apartment, 3, 6, 8, 1, 97,213, 127.8
Ellendale , Apartment, 3, 5, 8, 1, 90,232.5, 139.5
Vermont , Apartment, 2, 5, 6, 0, 104,164, 196.8
Orchard , Apartment, 3, 6, 8, 0, 104,102, 122.4
Figueroa , Apartment, 1, 2, 3, 0, 85,181, 217.2
Orchard , Bungalow, 3, 3, 6, 1, 99,195, 117
Figueroa , Apartment, 3, 5, 6, 0, 99,104, 124.8
Vermont , Apartment, 3, 5, 7, 0, 88,180, 216
Jefferson , Bungalow, 2, 5, 6, 1, 96,297, 178.2
Ellendale , Bungalow, 3, 4, 7, 0, 88,154, 184.8
Figueroa , Bungalow, 1, 1, 4, 0, 88,122, 146.4
ThirtyWest , Apartment, 2, 4, 4, 1, 103,225, 135
Ellendale , Bungalow, 2, 4, 5, 1, 85,292.5, 175.5
Ellendale , Bungalow, 3, 5, 8, 1, 102,165, 99
Hoover , Apartment, 3, 6, 6, 1, 94,171, 102.6
Adams , Bungalow, 1, 2, 2, 0, 96,122, 146.4
ThirtyWest , Apartment, 1, 1, 3, 1, 95,258, 154.8
Adams , Bungalow, 2, 5, 4, 0, 104,128, 153.6
Figueroa , Bungalow, 2, 5, 6, 0, 90,166, 199.2
Menlo , Bungalow, 3, 3, 6, 0, 91,140, 168
Orchard , Apartment, 1, 2, 3, 1, 92,238.5, 143.1
TwentyThird , Apartment, 2, 3, 6, 0, 105,165, 198
Hoover , Apartment, 3, 5, 6, 0, 89,185, 222
Orchard , Apartment, 1, 1, 2, 0, 86,178, 213.6
Orchard , Apartment, 1, 1, 2, 1, 103,244.5, 146.7
Vermont , Apartment, 3, 5, 6, 1, 93,178.5, 107.1
ThirtyWest , Bungalow, 3, 4, 7, 1, 95,279, 167.4
TwentyThird , Bungalow, 3, 3, 7, 1, 100,279, 167.4
Hoover , Apartment, 1, 1, 4, 0, 86,196, 235.2
Jefferson , Apartment, 2, 5, 6, 0, 95,136, 163.2
Adams , Bungalow, 2, 6, 4, 1, 87,244.5, 146.7
Adams , Bungalow, 2, 5, 5, 0, 97,155, 186
Figueroa , Apartment, 1, 1, 2, 0, 98,119, 142.8
Adams , Apartment, 3, 3, 8, 0, 94,131, 157.2
Hoover , Bungalow, 2, 4, 5, 1, 92,186, 111.6
TwentyThird , Bungalow, 3, 3, 6, 0, 85,136, 163.2
Ellendale , Bungalow, 1, 1, 3, 0, 86,163, 195.6
Figueroa , Bungalow, 2, 6, 4, 1, 91,183, 109.8
ThirtyWest , Apartment, 1, 1, 2, 1, 94,157.5, 94.5
Adams , Bungalow, 1, 1, 2, 0, 102,172, 206.4
